,disc_number,duration_ms,id,name,popularity,track_number,type_x,album.album_type,album.name,album.release_date,album.release_date_precision,album.total_tracks,album.type,id_artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type_y,uri,track_href,analysis_url,time_signature
0,1,149800,2ox1FrJXA1KG29I0hsDlxI,Oh No,55,9,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.506,0.847,4,-3.085,1,0.0877,0.000157,0.019,0.298,0.778,131.989,audio_features,spotify:track:2ox1FrJXA1KG29I0hsDlxI,https://api.spotify.com/v1/tracks/2ox1FrJXA1KG29I0hsDlxI,https://api.spotify.com/v1/audio-analysis/2ox1FrJXA1KG29I0hsDlxI,4
1,1,201253,4ug5wsIcbAPBun8TCKn2t6,Ur Mum,64,8,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.685,0.72,4,-5.553,1,0.028,0.00702,0.275,0.425,0.554,133.016,audio_features,spotify:track:4ug5wsIcbAPBun8TCKn2t6,https://api.spotify.com/v1/tracks/4ug5wsIcbAPBun8TCKn2t6,https://api.spotify.com/v1/audio-analysis/4ug5wsIcbAPBun8TCKn2t6,4
2,1,219173,0hRJrlZwrnM7Oalx4GLElX,Loving You,55,7,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.648,0.569,2,-6.323,1,0.0255,0.058,0.0284,0.17,0.416,96.018,audio_features,spotify:track:0hRJrlZwrnM7Oalx4GLElX,https://api.spotify.com/v1/tracks/0hRJrlZwrnM7Oalx4GLElX,https://api.spotify.com/v1/audio-analysis/0hRJrlZwrnM7Oalx4GLElX,4
3,1,157893,2NFf0lo7aqNuilv6iahFLG,Convincing,55,6,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.564,0.784,11,-4.077,0,0.0304,0.00182,0.385,0.275,0.519,127.92,audio_features,spotify:track:2NFf0lo7aqNuilv6iahFLG,https://api.spotify.com/v1/tracks/2NFf0lo7aqNuilv6iahFLG,https://api.spotify.com/v1/audio-analysis/2NFf0lo7aqNuilv6iahFLG,4
4,1,140080,260Ub1Yuj4CobdISTOBvM9,Wet Dream,74,5,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.721,0.701,2,-5.941,1,0.0306,0.000927,0.026,0.234,0.892,130.091,audio_features,spotify:track:260Ub1Yuj4CobdISTOBvM9,https://api.spotify.com/v1/tracks/260Ub1Yuj4CobdISTOBvM9,https://api.spotify.com/v1/audio-analysis/260Ub1Yuj4CobdISTOBvM9,3
5,1,232320,3EwTIu5qka2l5ZekB0b6QC,Angelica,63,3,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.491,0.87,0,-5.138,1,0.0393,0.000141,0.000729,0.368,0.314,131.989,audio_features,spotify:track:3EwTIu5qka2l5ZekB0b6QC,https://api.spotify.com/v1/tracks/3EwTIu5qka2l5ZekB0b6QC,https://api.spotify.com/v1/audio-analysis/3EwTIu5qka2l5ZekB0b6QC,4
6,1,196905,0nys6GusuHnjSYLW0PYYb7,Chaise Longue,69,2,track,album,Wet Leg,2022-04-08,day,12,album,2TwOrUcYnAlIiKmVQkkoSZ,0.684,0.749,7,-6.565,1,0.06,0.00135,0.111,0.141,0.935,160.021,audio_features,spotify:track:0nys6GusuHnjSYLW0PYYb7,https://api.spotify.com/v1/tracks/0nys6GusuHnjSYLW0PYYb7,https://api.spotify.com/v1/audio-analysis/0nys6GusuHnjSYLW0PYYb7,4
7,1,209960,61l9g0bVRKuuNLVcpFGgGq,Dishes,42,2,track,album,This Is Hardcore (Deluxe Edition),1998-03-30,day,26,album,36E7oYfz3LLRto6l2WmDcD,0.468,0.287,0,-11.819,1,0.0269,0.438,0.00159,0.111,0.393,84.802,audio_features,spotify:track:61l9g0bVRKuuNLVcpFGgGq,https://api.spotify.com/v1/tracks/61l9g0bVRKuuNLVcpFGgGq,https://api.spotify.com/v1/audio-analysis/61l9g0bVRKuuNLVcpFGgGq,4
8,1,383733,1so0qYkfkiZNNcvJN02qdo,This Is Hardcore - Original Version,52,5,track,album,This Is Hardcore (Deluxe Edition),1998-03-30,day,26,album,36E7oYfz3LLRto6l2WmDcD,0.338,0.511,9,-7.839,0,0.0267,0.00526,0.00062,0.159,0.112,154.136,audio_features,spotify:track:1so0qYkfkiZNNcvJN02qdo,https://api.spotify.com/v1/tracks/1so0qYkfkiZNNcvJN02qdo,https://api.spotify.com/v1/audio-analysis/1so0qYkfkiZNNcvJN02qdo,4
9,2,271333,4z80Wk5401Bt5MA9MZU5NW,Like A Friend,51,3,track,album,This Is Hardcore (Deluxe Edition),1998-03-30,day,26,album,36E7oYfz3LLRto6l2WmDcD,0.301,0.525,5,-8.955,1,0.0426,0.0309,0.000164,0.388,0.345,111.4,audio_features,spotify:track:4z80Wk5401Bt5MA9MZU5NW,https://api.spotify.com/v1/tracks/4z80Wk5401Bt5MA9MZU5NW,https://api.spotify.com/v1/audio-analysis/4z80Wk5401Bt5MA9MZU5NW,4
10,1,352800,6ltmS4rHQSajk403Q7x3CY,Sunrise - Original Mix,36,11,track,album,We Love Life,2001-01-01,day,11,album,36E7oYfz3LLRto6l2WmDcD,0.269,0.624,2,-5.939,1,0.0332,0.00483,0.5,0.0808,0.0466,130.773,audio_features,spotify:track:6ltmS4rHQSajk403Q7x3CY,https://api.spotify.com/v1/tracks/6ltmS4rHQSajk403Q7x3CY,https://api.spotify.com/v1/audio-analysis/6ltmS4rHQSajk403Q7x3CY,4
11,1,246573,4G0cKJupBY79cAoYDihZwI,Pin It Down,43,1,track,album,Who Are You Now,2019-08-16,day,10,album,3h9TfIgwhovQELlP2jj4xL,0.637,0.565,5,-6.864,1,0.0551,0.307,1.03e-05,0.11,0.689,167.687,audio_features,spotify:track:4G0cKJupBY79cAoYDihZwI,https://api.spotify.com/v1/tracks/4G0cKJupBY79cAoYDihZwI,https://api.spotify.com/v1/audio-analysis/4G0cKJupBY79cAoYDihZwI,4
